mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dropout,param_epochs,param_hidden_dim,param_input_dim,param_learning_rate,param_output_dim,param_weight_decay,params,Picohttpparser_test_score,CSimpleJSONParser_test_score,Benoitc_HTTP_test_score,CParserXML_test_score,cJSON_test_score,YACC_Calculator_test_score,ELF_Parser_test_score,Network_Packet_Analyzer_test_score,Packcc_test_score,PCAP_Parser_test_score,mean_test_score,std_test_score,rank_test_score
11.09398455619812,1.3643712158716825,0.15991904735565185,0.14671823103343362,32,0,10,16,1,0.1,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 10, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.0}",0.0,0.0,0.06315789473684211,0.0,0.0,0.8620689655172413,0.0,0.0,0.0,0.0,0.09252268602540833,0.25720562720943596,52
11.536590814590454,1.757622897567914,0.17214581966400147,0.14813879714099912,32,0,10,16,1,0.1,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 10, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
11.310269784927367,1.5243604197513618,0.18623218536376954,0.17028814572910647,32,0,10,16,1,0.01,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 10, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
11.527372932434082,1.7469464133733836,0.17931923866271973,0.14100921599330868,32,0,10,16,1,0.01,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 10, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
12.059374451637268,1.7750194533959875,0.22425496578216553,0.25645049246511814,32,0,10,32,1,0.1,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 10, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44802867383512546,0.0,0.044802867383512544,0.13440860215053765,68
12.040448117256165,1.9635368690047847,0.19529325962066652,0.18016144240756057,32,0,10,32,1,0.1,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 10, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
12.197389101982116,1.6521332476999797,0.19322476387023926,0.19484535415459,32,0,10,32,1,0.01,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 10, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
12.811166620254516,1.84970107040821,0.19755215644836427,0.18421060950070586,32,0,10,32,1,0.01,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 10, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
14.3103511095047,2.333429580932011,0.19676294326782226,0.1980381678747641,32,0,10,64,1,0.1,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 10, 'hidden_dim': 64, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.0}",0.3413173652694611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03413173652694611,0.10239520958083834,73
14.61534526348114,2.251540201227111,0.2204967737197876,0.23885651533471755,32,0,10,64,1,0.1,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 10, 'hidden_dim': 64, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
14.49385986328125,2.0785219486658226,0.2174524784088135,0.20792500403398753,32,0,10,64,1,0.01,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 10, 'hidden_dim': 64, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
